Town,Pop 2015-19,Area (Sq Mi)
Bethel,19663,16.88854157
Bridgeport,145639,15.97388405
Brookfield,17016,19.77292868
Danbury,84619,41.89184815
Darien,21742,12.65539609
Easton,7543,27.41854248
Fairfield,61740,29.90270534
Greenwich,62587,47.62205848
Monroe,19546,26.07260883
New Canaan,20276,22.19472677
New Fairfield,13955,20.44198351
Newtown,27822,57.65862699
Norwalk,88599,22.85997155
Redding,9176,31.49919459
Ridgefield,25042,34.51536609
Shelton,41141,30.6256863
Sherman,3649,21.89178174
Stamford,129309,37.63854041
Stratford,52120,17.48088254
Trumbull,35976,23.32288335
Weston,10287,19.79867706
Westport,28016,19.95774961
Wilton,18463,26.80497052
Avon,18312,23.15396365
Berlin,20484,26.32437525
Bloomfield,21022,26.08592472
Bristol,60218,26.41093936
Burlington,9659,29.74061965
Canton,10288,24.58566758
East Granby,5304,17.56419566
East Hartford,50272,17.99628879
East Windsor,11445,26.25070078
Enfield,44143,33.27030087
Farmington,25528,28.01631513
Glastonbury,34564,51.26983754
Granby,11361,40.67812515
Hartford,123088,17.38086972
Hartland,1982,33.07935017
Manchester,57805,27.40275245
Marlborough,6368,23.35114912
New Britain,72767,13.39309062
Newington,30234,13.14095509
Plainville,17619,9.710522211
Rocky Hill,20168,13.45437585
Simsbury,24799,33.92374945
Southington,43781,35.91211079
South Windsor,25898,28.06282346
Suffield,15688,42.26290778
West Hartford,63063,21.83704326
Wethersfield,26171,12.3102107
Windsor,28859,29.5040533
Windsor Locks,12671,9.023590071
Barkhamsted,3649,36.25374635
Bethlehem,3433,19.37503958
Bridgewater,1707,16.39522963
Canaan,1143,32.91234091
Colebrook,1484,31.5314264
Cornwall,1291,46.06099797
Goshen,2883,43.6314176
Harwinton,5456,30.79310329
Kent,2799,48.5500566
Litchfield,8147,56.09865683
Morris,2205,17.34600933
New Hartford,6703,37.03771292
New Milford,27014,61.565981
Norfolk,1628,45.32196751
North Canaan,3281,19.46636664
Plymouth,11711,21.89234236
Roxbury,2105,26.3016848
Salisbury,3625,57.24179108
Sharon,2700,58.76518965
Thomaston,7599,11.96873885
Torrington,34489,39.7541116
Warren,1457,26.30878908
Washington,3450,38.07054859
Watertown,21751,29.00569423
Winchester,10730,32.51216299
Woodbury,9562,36.39874162
Chester,4234,16.05147978
Clinton,12944,16.20684266
Cromwell,13910,12.45276349
Deep River,4480,13.51356222
Durham,7221,23.65904398
East Haddam,9007,54.25331083
East Hampton,12827,35.65007405
Essex,6604,10.40243121
Haddam,8227,43.93690164
Killingworth,6392,35.33088184
Middlefield,4381,12.64859142
Middletown,46511,41.01805568
Old Saybrook,10090,15.04407742
Portland,9322,23.35024255
Westbrook,6903,15.78315884
Ansonia,18802,6.018885802
Beacon Falls,6168,9.66829576
Bethany,5513,21.12921604
Branford,28020,21.83456603
Cheshire,29147,33.06952465
Derby,12485,5.055472844
East Haven,28742,12.30480682
Guilford,22216,47.11784302
Hamden,60982,32.64635975
Madison,18113,36.14733968
Meriden,59676,23.7930724
Middlebury,7739,17.7510058
Milford,54328,22.17541085
Naugatuck,31347,16.30768482
New Haven,130331,18.6786348
North Branford,14191,24.75733169
North Haven,23722,20.83975679
Orange,13934,17.18105567
Oxford,13086,32.74198645
Prospect,9705,14.22528599
Seymour,16508,14.5176302
Southbury,19681,38.99243085
Wallingford,44596,39.04011602
Waterbury,108276,28.51917152
West Haven,54763,10.74671234
Wolcott,16615,20.43453483
Woodbridge,8827,18.81179372
Bozrah,2589,19.96461296
Colchester,15860,48.98308409
East Lyme,18724,33.9962718
Franklin,1778,19.48899532
Griswold,11622,34.70655154
Groton,38825,31.0307847
Lebanon,7215,54.0980298
Ledyard,14761,38.21899406
Lisbon,4247,16.28693569
Lyme,2499,31.84044405
Montville,18835,41.95422681
New London,26966,5.615268488
North Stonington,5223,54.24807219
Norwich,39260,28.06196785
Old Lyme,7396,23.01538386
Preston,4657,30.81519142
Salem,4112,28.91893862
Sprague,2906,13.24920733
Stonington,18445,38.65646945
Voluntown,2535,38.96085696
Waterford,18935,32.76767305
Andover,3203,15.4474569
Bolton,4911,14.40723277
Columbia,5417,21.37270443
Coventry,12433,37.56921499
Ellington,16170,34.06009294
Hebron,9512,36.93698349
Mansfield,25799,44.59940664
Somers,11005,28.36848665
Stafford,11881,58.0361855
Tolland,14713,39.62700985
Union,894,28.79602531
Vernon,29232,17.69911984
Willington,5893,33.29371101
Ashford,4236,38.76182283
Brooklyn,8238,29.09115255
Canterbury,5069,39.94478121
Chaplin,2489,19.42731472
Eastford,1653,28.92084442
Hampton,1830,25.09219502
Killingly,17231,48.30627478
Plainfield,15105,42.35947039
Pomfret,4186,40.32886639
Putnam,9361,20.30436126
Scotland,1569,18.63232417
Sterling,3757,27.22007978
Thompson,9351,46.90283662
Windham,24655,26.97229485
Woodstock,7836,60.64526631