town,prelim-pop-2020,land-sq-miles,prelim-pop-density-2020
Andover,3151,15.45,203.98
Ansonia,18918,6.02,3143.11
Ashford,4191,38.76,108.12
Avon,18932,23.15,817.66
Barkhamsted,3647,36.25,100.60
Beacon Falls,6000,9.67,620.59
Berlin,20175,26.32,766.40
Bethany,5297,21.13,250.70
Bethel,20358,16.89,1205.43
Bethlehem,3385,19.38,174.71
Bloomfield,21535,26.09,825.54
Bolton,4858,14.41,337.19
Bozrah,2429,19.96,121.67
Branford,28273,21.83,1294.87
Bridgeport,148654,15.97,9306.06
Bridgewater,1662,16.40,101.37
Bristol,60833,26.41,2303.33
Brookfield,17528,19.77,886.46
Brooklyn,8450,29.09,290.47
Burlington,9519,29.74,320.07
Canaan,1080,32.91,32.81
Canterbury,5045,39.94,126.30
Canton,10124,24.59,411.78
Chaplin,2151,19.43,110.72
Cheshire,28733,33.07,868.87
Chester,3749,16.05,233.56
Clinton,13185,16.21,813.55
Colchester,15555,48.98,317.56
Colebrook,1361,31.53,43.16
Columbia,5272,21.37,246.67
Cornwall,1567,46.06,34.02
Coventry,12235,37.57,325.67
Cromwell,14225,12.45,1142.32
Danbury,86518,41.89,2065.27
Darien,21499,12.66,1698.80
Deep River,4415,13.51,326.71
Derby,12325,5.06,2437.95
Durham,7152,23.66,302.29
East Granby,5214,17.56,296.85
East Haddam,8875,54.25,163.58
East Hampton,12717,35.65,356.72
East Hartford,51045,18.00,2836.42
East Haven,27923,12.30,2269.28
East Lyme,18693,34.00,549.85
East Windsor,11190,26.25,426.27
Eastford,1649,28.92,57.02
Easton,7605,27.42,277.37
Ellington,16426,34.06,482.27
Enfield,42141,33.27,1266.63
Essex,6733,10.40,647.25
Fairfield,61512,29.90,2057.07
Farmington,26712,28.02,953.44
Franklin,1863,19.49,95.59
Glastonbury,35159,51.27,685.76
Goshen,3150,43.63,72.20
Granby,10903,40.68,268.03
Greenwich,63518,47.62,1333.79
Griswold,11402,34.71,328.53
Groton,38411,31.03,1237.84
Guilford,22073,47.12,468.46
Haddam,8452,43.94,192.37
Hamden,61169,32.65,1873.69
Hampton,1728,25.09,68.87
Hartford,121054,17.38,6964.78
Hartland,1901,33.08,57.47
Harwinton,5484,30.79,178.09
Hebron,9098,36.94,246.31
Kent,3019,48.55,62.18
Killingly,17752,48.31,367.49
Killingworth,6174,35.33,174.75
Lebanon,7142,54.10,132.02
Ledyard,15413,38.22,403.28
Lisbon,4195,16.29,257.57
Litchfield,8192,56.10,146.03
Lyme,2352,31.84,73.87
Madison,17691,36.15,489.41
Manchester,59713,27.40,2179.09
Mansfield,25892,44.60,580.55
Marlborough,6133,23.35,262.64
Meriden,60850,23.79,2557.47
Middlebury,7574,17.75,426.68
Middlefield,4217,12.65,333.40
Middletown,47717,41.02,1163.32
Milford,52044,22.18,2346.92
Monroe,18825,26.07,722.02
Montville,18387,41.95,438.26
Morris,2256,17.35,130.06
Naugatuck,31519,16.31,1932.77
New Britain,74135,13.39,5535.32
New Canaan,20622,22.19,929.14
New Fairfield,13579,20.44,664.27
New Hartford,6658,37.04,179.76
New Haven,134023,18.68,7175.20
New London,27367,5.62,4873.68
New Milford,28115,61.57,456.66
Newington,30536,13.14,2323.73
Newtown,27173,57.66,471.27
Norfolk,1588,45.32,35.04
North Branford,13544,24.76,547.07
North Canaan,3211,19.47,164.95
North Haven,24253,20.84,1163.79
North Stonington,5149,54.25,94.92
Norwalk,91184,22.86,3988.81
Norwich,40125,28.06,1429.87
Old Lyme,7628,23.02,331.43
Old Saybrook,10481,15.04,696.69
Orange,14280,17.18,831.15
Oxford,12706,32.74,388.06
Plainfield,14973,42.36,353.47
Plainville,17525,9.71,1804.74
Plymouth,11671,21.89,533.11
Pomfret,4266,40.33,105.78
Portland,9384,23.35,401.88
Preston,4788,30.82,155.38
Prospect,9401,14.23,660.87
Putnam,9224,20.30,454.29
Redding,8765,31.50,278.26
Ridgefield,25033,34.52,725.27
Rocky Hill,20845,13.45,1549.31
Roxbury,2260,26.30,85.93
Salem,4213,28.92,145.68
Salisbury,4194,57.24,73.27
Scotland,1576,18.63,84.58
Seymour,16748,14.52,1153.63
Sharon,2680,58.77,45.61
Shelton,40869,30.63,1334.47
Sherman,3527,21.89,161.11
Simsbury,24517,33.92,722.71
Somers,10255,28.37,361.49
South Windsor,26918,28.06,959.20
Southbury,19879,38.99,509.82
Southington,43501,35.91,1211.32
Sprague,2967,13.25,223.94
Stafford,11472,58.04,197.67
Stamford,135470,37.64,3599.24
Sterling,3578,27.22,131.45
Stonington,18335,38.66,474.31
Stratford,52355,17.48,2994.99
Suffield,15752,42.26,372.71
Thomaston,7442,11.97,621.79
Thompson,9189,46.90,195.92
Tolland,14563,39.63,367.50
Torrington,35515,39.75,893.37
Trumbull,36827,23.32,1579.01
Union,785,28.80,27.26
Vernon,30215,17.70,1707.15
Voluntown,2570,38.96,65.96
Wallingford,44396,39.04,1137.19
Warren,1351,26.31,51.35
Washington,3646,38.07,95.77
Waterbury,114403,28.52,4011.44
Waterford,19571,32.77,597.27
Watertown,22105,29.01,762.09
West Hartford,64083,21.84,2934.60
West Haven,55584,10.75,5172.19
Westbrook,6769,15.78,428.87
Weston,10354,19.80,522.96
Westport,27141,19.96,1359.92
Wethersfield,27298,12.31,2217.51
Willington,5566,33.29,167.18
Wilton,18503,26.80,690.28
Winchester,10224,32.51,314.47
Windham,24425,26.97,905.56
Windsor Locks,12613,9.02,1397.78
Windsor,29492,29.50,999.59
Wolcott,16142,20.43,789.94
Woodbridge,9087,18.81,483.05
Woodbury,9723,36.40,267.12
Woodstock,8221,60.65,135.56