FIPS code,Area Name,Median Household Income (In 2021 Inflation Adjusted Dollars)
1,Alabama,54943
2,Alaska,80287
4,Arizona,65913
5,Arkansas,52123
6,California,84097
8,Colorado,80184
9,Connecticut,83572
10,Delaware,72724
11,District of Columbia,93547
12,Florida,61777
13,Georgia,65030
15,Hawaii,88005
16,Idaho,63377
17,Illinois,72563
18,Indiana,61944
19,Iowa,65429
20,Kansas,64521
21,Kentucky,55454
22,Louisiana,53571
23,Maine,63182
24,Maryland,91431
25,Massachusetts,89026
26,Michigan,63202
27,Minnesota,77706
28,Mississippi,49111
29,Missouri,61043
30,Montana,60560
31,Nebraska,66644
32,Nevada,65686
33,New Hampshire,83449
34,New Jersey,89703
35,New Mexico,54020
36,New York,75157
37,North Carolina,60516
38,North Dakota,68131
39,Ohio,61938
40,Oklahoma,56956
41,Oregon,70084
42,Pennsylvania,67587
44,Rhode Island,74489
45,South Carolina,58234
46,South Dakota,63920
47,Tennessee,58516
48,Texas,67321
49,Utah,79133
50,Vermont,67674
51,Virginia,80615
53,Washington,82400
54,West Virginia,50884
55,Wisconsin,67080
56,Wyoming,68002
72,Puerto Rico,21967